,Player,Pos,Year,Week,Team,Opponent Abbrev,Date,H/A,OT,Team Score,Opponent Score,Spread,Over/Under,Actual Margin,Indoor/Outdoor,Surface,Weather,Temperature,Wind,Sk,Int,Int TD,FF,FR,Fum TD,QBHits,TFL,Oppt Int TD,Oppt Fum TD,Oppt Punt TD,Oppt Kick TD
26270,NE DST,DST,2015,1,NE,,9/10/2015,A,,,21,7,52,7,outdoors,fieldturf ,"65 degrees relative humidity 0%, wind 7 mph, wind chill 0",65,7,3,1,0,0,0,0,5,5,0,0,0,0
26271,PIT DST,DST,2015,1,PIT,,9/10/2015,H,,,28,-7,52,-7,outdoors,fieldturf ,"65 degrees relative humidity 0%, wind 7 mph, wind chill 0",65,7,2,0,0,1,0,0,5,4,0,0,0,0
26272,BUF DST,DST,2015,1,BUF,,9/13/2015,A,,,14,-2.5,45,13,outdoors,a_turf,"56 degrees relative humidity 78%, wind 15 mph, wind chill 0",56,15,2,2,0,0,1,0,6,1,0,0,0,0
26273,IND DST,DST,2015,1,IND,,9/13/2015,H,,,27,2.5,45,-13,outdoors,a_turf,"56 degrees relative humidity 78%, wind 15 mph, wind chill 0",56,15,0,0,0,1,1,0,0,8,0,0,0,0
26274,CHI DST,DST,2015,1,CHI,,9/13/2015,A,,,31,-6.5,49,-8,outdoors,grass ,"72 degrees relative humidity 39%, wind 11 mph, wind chill 0",72,11,0,0,0,0,0,0,0,2,0,0,0,0
26275,GB DST,DST,2015,1,GB,,9/13/2015,H,,,23,6.5,49,8,outdoors,grass ,"72 degrees relative humidity 39%, wind 11 mph, wind chill 0",72,11,2,1,0,0,0,0,7,2,0,0,0,0
26276,ARI DST,DST,2015,1,ARI,,9/13/2015,A,,,19,2,48.5,12,retractable roof (closed),grass ,indoors,,,2,1,0,0,0,0,3,5,0,0,0,0
26277,NO DST,DST,2015,1,NO,,9/13/2015,H,,,31,-2,48.5,-12,retractable roof (closed),grass ,indoors,,,0,0,0,1,1,0,1,3,0,0,0,0
26278,DAL DST,DST,2015,1,DAL,,9/13/2015,A,,,26,6,51.5,1,retractable roof (closed),matrixturf,indoors,,,1,0,0,0,0,0,5,4,0,1,0,0
26279,NYG DST,DST,2015,1,NYG,,9/13/2015,H,,,27,-6,51.5,-1,retractable roof (closed),matrixturf,indoors,,,0,2,0,2,1,1,,,0,0,0,0
26280,BAL DST,DST,2015,1,BAL,,9/13/2015,H,,,19,-4.5,48,-6,outdoors,grass ,"88 degrees relative humidity 8%, wind 13 mph, wind chill 0",88,13,4,1,1,0,0,0,5,8,1,0,0,0
26281,DEN DST,DST,2015,1,DEN,,9/13/2015,A,,,13,4.5,48,6,outdoors,grass ,"88 degrees relative humidity 8%, wind 13 mph, wind chill 0",88,13,2,2,1,0,0,0,7,7,1,0,0,0
26282,HOU DST,DST,2015,1,HOU,,9/13/2015,A,,,27,1,41,-7,retractable roof (closed),grass ,indoors,,,2,0,0,1,1,0,3,7,0,0,0,0
26283,KC DST,DST,2015,1,KC,,9/13/2015,H,,,20,-1,41,7,retractable roof (closed),grass ,indoors,,,5,1,0,1,2,0,,,0,0,0,0
26284,CAR DST,DST,2015,1,CAR,,9/13/2015,H,,,9,3,40.5,11,outdoors,grass ,"77 degrees relative humidity 55%, wind 7 mph, wind chill 0",77,7,5,2,1,1,1,0,7,8,0,0,0,0
26285,JAX DST,DST,2015,1,JAX,,9/13/2015,A,,,20,-3,40.5,-11,outdoors,grass ,"77 degrees relative humidity 55%, wind 7 mph, wind chill 0",77,7,2,1,0,0,0,0,2,6,1,0,0,0
26286,CLE DST,DST,2015,1,CLE,,9/13/2015,H,,,31,-3.5,39.5,-21,outdoors,fieldturf ,"77 degrees relative humidity 49%, wind 8 mph, wind chill 0",77,8,0,1,0,0,0,0,2,3,0,0,0,0
26287,NYJ DST,DST,2015,1,NYJ,,9/13/2015,A,,,10,3.5,39.5,21,outdoors,fieldturf ,"77 degrees relative humidity 49%, wind 8 mph, wind chill 0",77,8,3,1,0,3,4,0,,,0,0,0,0
26288,CIN DST,DST,2015,1,CIN,,9/13/2015,H,,,13,3,43,20,outdoors,grass ,"73 degrees relative humidity 59%, wind 9 mph, wind chill 0",73,9,2,1,0,2,1,0,5,2,0,0,0,0
26289,OAK DST,DST,2015,1,OAK,,9/13/2015,A,,,33,-3,43,-20,outdoors,grass ,"73 degrees relative humidity 59%, wind 9 mph, wind chill 0",73,9,0,0,0,0,0,0,2,2,0,0,0,0
26290,SEA DST,DST,2015,1,SEA,,9/13/2015,H,OT,,34,4,40.5,-3,dome,astroplay,indoors,,,2,0,0,2,3,1,8,7,0,0,1,0
26291,LAR DST,DST,2015,1,LAR,,9/13/2015,A,OT,,31,-4,40.5,3,dome,astroplay,indoors,,,6,1,0,0,1,0,9,7,0,1,1,0
26292,DET DST,DST,2015,1,DET,,9/13/2015,H,,,33,-2.5,45.5,-5,outdoors,grass ,"84 degrees relative humidity 47%, wind 10 mph, wind chill 0",84,10,2,2,1,1,1,0,6,7,0,0,0,0
26293,LAC DST,DST,2015,1,LAC,,9/13/2015,A,,,28,2.5,45.5,5,outdoors,grass ,"84 degrees relative humidity 47%, wind 10 mph, wind chill 0",84,10,1,2,0,1,0,0,3,4,1,0,0,0
26294,TB DST,DST,2015,1,TB,,9/13/2015,A,,,42,3,41,-28,outdoors,grass ,"84 degrees relative humidity 66%, wind 8 mph",84,8,2,0,0,2,1,0,2,3,1,0,0,0
26295,TEN DST,DST,2015,1,TEN,,9/13/2015,H,,,14,-3,41,28,outdoors,grass ,"84 degrees relative humidity 66%, wind 8 mph",84,8,4,2,1,1,0,0,6,7,0,0,0,0
26296,MIA DST,DST,2015,1,MIA,,9/13/2015,H,,,10,3,43.5,7,outdoors,grass ,"69 degrees relative humidity 58%, wind 10 mph, wind chill 0",69,10,1,2,0,0,1,0,,,0,0,0,0
26297,WAS DST,DST,2015,1,WAS,,9/13/2015,A,,,17,-3,43.5,-7,outdoors,grass ,"69 degrees relative humidity 58%, wind 10 mph, wind chill 0",69,10,3,0,0,2,1,0,5,3,0,0,1,0
26298,ATL DST,DST,2015,1,ATL,,9/14/2015,A,,,24,-2.5,54.5,2,dome,fieldturf ,indoors,,,0,2,0,1,0,0,8,1,0,0,0,0
26299,PHI DST,DST,2015,1,PHI,,9/14/2015,H,,,26,2.5,54.5,-2,dome,fieldturf ,indoors,,,1,2,0,0,0,0,3,4,0,0,0,0
26300,MIN DST,DST,2015,1,MIN,,9/14/2015,H,,,20,1.5,41.5,-17,outdoors,grass,"70 degrees relative humidity 63%, wind 5 mph, wind chill 0",70,5,1,0,0,0,1,0,3,1,0,0,0,0
26301,SF DST,DST,2015,1,SF,,9/14/2015,A,,,3,-1.5,41.5,17,outdoors,grass,"70 degrees relative humidity 63%, wind 5 mph, wind chill 0",70,5,5,1,0,0,0,0,,,0,0,0,0
26302,DEN DST,DST,2015,2,DEN,,9/17/2015,H,,,24,-3,42,7,outdoors,grass ,"87 degrees relative humidity 59%, wind 13 mph, wind chill 0",87,13,5,2,0,3,3,1,8,7,1,0,0,0
26303,KC DST,DST,2015,2,KC,,9/17/2015,A,,,31,3,42,-7,outdoors,grass ,"87 degrees relative humidity 59%, wind 13 mph, wind chill 0",87,13,3,1,1,0,0,0,12,7,0,1,0,0
26304,BUF DST,DST,2015,2,BUF,,9/20/2015,A,,,40,-1,44,-8,outdoors,a_turf,"62 degrees relative humidity 57%, wind 7 mph, wind chill 0",62,7,2,0,0,2,2,0,5,0,0,0,0,0
26305,NE DST,DST,2015,2,NE,,9/20/2015,H,,,32,1,44,8,outdoors,a_turf,"62 degrees relative humidity 57%, wind 7 mph, wind chill 0",62,7,8,3,0,3,0,0,12,9,0,0,0,0
26306,CAR DST,DST,2015,2,CAR,,9/20/2015,A,,,17,3,39.5,7,outdoors,grass ,"88 degrees relative humidity 43%, wind 6 mph, wind chill 0",88,6,1,1,0,0,0,0,6,3,0,0,0,0
26307,HOU DST,DST,2015,2,HOU,,9/20/2015,H,,,24,-3,39.5,-7,outdoors,grass ,"88 degrees relative humidity 43%, wind 6 mph, wind chill 0",88,6,2,1,0,0,1,0,5,3,0,0,0,0
26308,ARI DST,DST,2015,2,ARI,,9/20/2015,H,,,23,2,46,25,outdoors,grass ,"70 degrees relative humidity 47%, wind 6 mph, wind chill 0",70,6,1.5,2,1,2,0,0,4,7,0,0,0,0
26309,CHI DST,DST,2015,2,CHI,,9/20/2015,A,,,48,-2,46,-25,outdoors,grass ,"70 degrees relative humidity 47%, wind 6 mph, wind chill 0",70,6,0,1,0,0,2,0,,,1,0,0,1
26310,CIN DST,DST,2015,2,CIN,,9/20/2015,A,,,19,3,47,5,outdoors,fieldturf ,"69 degrees relative humidity 47%, wind 6 mph, wind chill 0",69,6,4,1,0,1,2,0,8,3,0,0,0,0
26311,LAC DST,DST,2015,2,LAC,,9/20/2015,H,,,24,-3,47,-5,outdoors,fieldturf ,"69 degrees relative humidity 47%, wind 6 mph, wind chill 0",69,6,0,0,0,1,2,0,2,3,0,0,0,0
26312,CLE DST,DST,2015,2,CLE,,9/20/2015,A,,,14,-2,41,14,outdoors,grass ,"64 degrees relative humidity 59%, wind 12 mph, wind chill 0",64,12,7,0,0,4,3,0,13,6,0,0,0,0
26313,TEN DST,DST,2015,2,TEN,,9/20/2015,H,,,28,2,41,-14,outdoors,grass ,"64 degrees relative humidity 59%, wind 12 mph, wind chill 0",64,12,2,0,0,2,0,0,4,6,0,0,1,0
26314,GB DST,DST,2015,2,GB,,9/20/2015,A,,,17,3,49,10,outdoors,grass ,"62 degrees relative humidity 52%, wind 9 mph, wind chill 0",62,9,2,1,0,1,2,0,2,7,0,0,0,0
26315,SEA DST,DST,2015,2,SEA,,9/20/2015,H,,,27,-3,49,-10,outdoors,grass ,"62 degrees relative humidity 52%, wind 9 mph, wind chill 0",62,9,2,0,0,1,1,0,5,3,0,0,0,0
26316,JAX DST,DST,2015,2,JAX,,9/20/2015,A,,,20,-6,41.5,3,outdoors,grass ,"87 degrees relative humidity 55%, wind 5 mph, wind chill 0",87,5,2,0,0,1,0,0,8,3,0,0,0,0
26317,MIA DST,DST,2015,2,MIA,,9/20/2015,H,,,23,6,41.5,-3,outdoors,grass ,"87 degrees relative humidity 55%, wind 5 mph, wind chill 0",87,5,0,0,0,0,0,0,3,4,0,0,0,0
26318,DET DST,DST,2015,2,DET,,9/20/2015,H,,,26,-2,43.5,-10,outdoors,fieldturf,"67 degrees relative humidity 0%, no wind, wind chill 0",67,0,1,0,0,2,1,0,3,4,0,0,0,0
26319,MIN DST,DST,2015,2,MIN,,9/20/2015,A,,,16,2,43.5,10,outdoors,fieldturf,"67 degrees relative humidity 0%, no wind, wind chill 0",67,0,1,1,0,2,3,0,,,0,0,0,0
26320,NO DST,DST,2015,2,NO,,9/20/2015,A,,,26,10,47.5,-7,dome,sportturf,indoors,,,3,0,0,2,4,0,,,0,0,0,0
26321,TB DST,DST,2015,2,TB,,9/20/2015,H,,,19,-10,47.5,7,dome,sportturf,indoors,,,4,1,0,4,2,0,5,4,0,0,0,0
26322,ATL DST,DST,2015,2,ATL,,9/20/2015,H,,,20,-2.5,51,4,outdoors,fieldturf ,"73 degrees relative humidity 47%, wind 9 mph, wind chill 0",73,9,2,0,0,2,1,0,6,5,0,0,0,0
26323,NYG DST,DST,2015,2,NYG,,9/20/2015,A,,,24,2.5,51,-4,outdoors,fieldturf ,"73 degrees relative humidity 47%, wind 9 mph, wind chill 0",73,9,2,0,0,0,0,0,,,0,0,0,0
26324,DAL DST,DST,2015,2,DAL,,9/20/2015,H,,,10,-5,55,10,outdoors,grass ,"77 degrees relative humidity 37%, wind 15 mph, wind chill 0",77,15,1,2,0,0,1,0,1,7,0,0,0,0
26325,PHI DST,DST,2015,2,PHI,,9/20/2015,A,,,20,5,55,-10,outdoors,grass ,"77 degrees relative humidity 37%, wind 15 mph, wind chill 0",77,15,3,0,0,2,2,0,4,6,0,0,0,0
26326,PIT DST,DST,2015,2,PIT,,9/20/2015,A,,,18,6.5,45.5,25,outdoors,grass ,"66 degrees relative humidity 60%, wind 10 mph",66,10,5,0,0,1,1,0,11,9,0,0,0,0
26327,SF DST,DST,2015,2,SF,,9/20/2015,H,,,43,-6.5,45.5,-25,outdoors,grass ,"66 degrees relative humidity 60%, wind 10 mph",66,10,0,0,0,0,0,0,,,0,0,0,0
26328,BAL DST,DST,2015,2,BAL,,9/20/2015,H,,,37,6,43,-4,outdoors,grass ,"80 degrees relative humidity 32%, wind 8 mph, wind chill 0",80,8,1,1,0,0,0,0,6,0,0,0,0,0
26329,OAK DST,DST,2015,2,OAK,,9/20/2015,A,,,33,-6,43,4,outdoors,grass ,"80 degrees relative humidity 32%, wind 8 mph, wind chill 0",80,8,0,1,0,1,1,0,1,1,0,0,0,0
26330,LAR DST,DST,2015,2,LAR,,9/20/2015,H,,,24,3,41,-14,outdoors,grass ,"72 degrees relative humidity 56%, wind 9 mph, wind chill 0",72,9,2,0,0,1,1,0,4,7,0,0,0,0
26331,WAS DST,DST,2015,2,WAS,,9/20/2015,A,,,10,-3,41,14,outdoors,grass ,"72 degrees relative humidity 56%, wind 9 mph, wind chill 0",72,9,1,0,0,1,0,0,5,2,0,0,0,0
26332,IND DST,DST,2015,2,IND,,9/21/2015,A,,,20,7,46.5,-13,retractable roof (closed),fieldturf ,indoors,,,1,1,0,1,0,0,2,3,0,0,0,0
26333,NYJ DST,DST,2015,2,NYJ,,9/21/2015,H,,,7,-7,46.5,13,retractable roof (closed),fieldturf ,indoors,,,0,3,0,1,2,0,11,2,0,0,0,0
26334,NYG DST,DST,2015,3,NYG,,9/24/2015,A,,,21,3.5,44,11,outdoors,fieldturf ,"71 degrees relative humidity 60%, wind 4 mph, wind chill 0",71,4,1,2,0,2,1,0,,,0,0,0,1
26335,WAS DST,DST,2015,3,WAS,,9/24/2015,H,,,32,-3.5,44,-11,outdoors,fieldturf ,"71 degrees relative humidity 60%, wind 4 mph, wind chill 0",71,4,0,0,0,0,0,0,4,1,0,0,0,0
26336,CAR DST,DST,2015,3,CAR,,9/27/2015,A,,,22,9.5,43.5,5,outdoors,grass ,"69 degrees relative humidity 90%, wind 9 mph, wind chill 0",69,9,1,1,0,1,1,0,1,2,0,0,1,0
26337,NO DST,DST,2015,3,NO,,9/27/2015,H,,,27,-9.5,43.5,-5,outdoors,grass ,"69 degrees relative humidity 90%, wind 9 mph, wind chill 0",69,9,1,0,0,0,0,0,3,3,0,0,0,0
26338,CLE DST,DST,2015,3,CLE,,9/27/2015,A,,,27,3.5,42.5,-7,outdoors,grass ,"75 degrees relative humidity 62%, wind 16 mph, wind chill 0",75,16,0,0,0,1,1,0,0,1,0,0,0,0
26339,OAK DST,DST,2015,3,OAK,,9/27/2015,H,,,20,-3.5,42.5,7,outdoors,grass ,"75 degrees relative humidity 62%, wind 16 mph, wind chill 0",75,16,5,1,0,1,1,0,12,8,0,0,0,0
26340,ARI DST,DST,2015,3,ARI,,9/27/2015,A,,,7,6.5,45,40,retractable roof (closed),grass ,indoors,,,2,4,2,1,0,0,5,8,0,0,0,0
26341,SF DST,DST,2015,3,SF,,9/27/2015,H,,,47,-6.5,45,-40,retractable roof (closed),grass ,indoors,,,1,1,0,1,1,0,,,2,0,0,0
26342,ATL DST,DST,2015,3,ATL,,9/27/2015,H,,,28,1,43.5,11,retractable roof (closed),matrixturf,indoors,,,2,1,0,0,0,0,3,5,0,0,0,0
26343,DAL DST,DST,2015,3,DAL,,9/27/2015,A,,,39,-1,43.5,-11,retractable roof (closed),matrixturf,indoors,,,1,0,0,0,0,0,3,3,0,0,0,0
26344,DEN DST,DST,2015,3,DEN,,9/27/2015,H,,,12,3,44.5,12,dome,fieldturf ,indoors,,,4,2,0,1,1,0,10,6,0,0,0,0
26345,DET DST,DST,2015,3,DET,,9/27/2015,A,,,24,-3,44.5,-12,dome,fieldturf ,indoors,,,1,1,0,1,1,0,8,4,0,0,0,0
26346,HOU DST,DST,2015,3,HOU,,9/27/2015,A,,,9,6.5,40.5,10,retractable roof (closed),fieldturf,indoors,,,0,1,0,0,1,0,6,3,0,0,0,0
26347,TB DST,DST,2015,3,TB,,9/27/2015,H,,,19,-6.5,40.5,-10,retractable roof (closed),fieldturf,indoors,,,1,1,0,1,2,0,4,8,0,0,0,0
26348,BUF DST,DST,2015,3,BUF,,9/27/2015,H,,,14,-2.5,41.5,27,outdoors,grass ,"87 degrees relative humidity 65%, wind 6 mph, wind chill 0",87,6,2,3,1,1,0,0,11,4,0,0,0,0
26349,MIA DST,DST,2015,3,MIA,,9/27/2015,A,,,41,2.5,41.5,-27,outdoors,grass ,"87 degrees relative humidity 65%, wind 6 mph, wind chill 0",87,6,0,0,0,0,0,0,3,7,1,0,0,0
26350,MIN DST,DST,2015,3,MIN,,9/27/2015,A,,,14,1,44.5,17,outdoors,fieldturf,"75 degrees relative humidity 0%, wind 12 mph, wind chill 0",75,12,4,1,1,1,1,0,13,4,0,0,0,0
26351,LAC DST,DST,2015,3,LAC,,9/27/2015,H,,,31,-1,44.5,-17,outdoors,fieldturf,"75 degrees relative humidity 0%, wind 12 mph, wind chill 0",75,12,0,1,0,0,0,0,3,4,1,0,0,0
26352,JAX DST,DST,2015,3,JAX,,9/27/2015,H,,,51,-13.5,49,-34,outdoors,fieldturf ,"68 degrees relative humidity 41%, wind 6 mph, wind chill 0",68,6,2,0,0,0,0,0,4,3,0,0,0,0
26353,NE DST,DST,2015,3,NE,,9/27/2015,A,,,17,13.5,49,34,outdoors,fieldturf ,"68 degrees relative humidity 41%, wind 6 mph, wind chill 0",68,6,2,1,0,1,0,0,2,2,0,0,0,0
26354,NYJ DST,DST,2015,3,NYJ,,9/27/2015,A,,,24,1.5,45.5,-7,outdoors,fieldturf ,"66 degrees relative humidity 52%, wind 7 mph, wind chill 0",66,7,1,0,0,1,1,0,,,0,0,1,0
26355,PHI DST,DST,2015,3,PHI,,9/27/2015,H,,,17,-1.5,45.5,7,outdoors,fieldturf ,"66 degrees relative humidity 52%, wind 7 mph, wind chill 0",66,7,1,3,0,2,1,0,6,3,0,0,0,0
26356,IND DST,DST,2015,3,IND,,9/27/2015,H,,,33,3.5,46,2,outdoors,grass ,"74 degrees relative humidity 77%, wind 3 mph",74,3,3,2,1,0,0,0,7,9,0,0,0,0
26357,TEN DST,DST,2015,3,TEN,,9/27/2015,A,,,35,-3.5,46,-2,outdoors,grass ,"74 degrees relative humidity 77%, wind 3 mph",74,3,3,2,0,1,0,0,4,4,1,0,0,0
26358,PIT DST,DST,2015,3,PIT,,9/27/2015,H,,,6,1,48,6,dome,astroplay,indoors,,,2,1,0,0,0,0,4,4,0,0,0,0
26359,LAR DST,DST,2015,3,LAR,,9/27/2015,A,,,12,-1,48,-6,dome,astroplay,indoors,,,5,1,0,1,0,0,5,8,0,0,0,0
26360,BAL DST,DST,2015,3,BAL,,9/27/2015,A,,,28,2.5,44.5,-4,outdoors,sportturf,"70 degrees relative humidity 20%, wind 12 mph, wind chill 0",70,12,2,1,0,1,1,1,5,3,0,0,0,0
26361,CIN DST,DST,2015,3,CIN,,9/27/2015,H,,,24,-2.5,44.5,4,outdoors,sportturf,"70 degrees relative humidity 20%, wind 12 mph, wind chill 0",70,12,0,1,0,1,0,0,3,5,0,1,0,0
26362,CHI DST,DST,2015,3,CHI,,9/27/2015,H,,,26,-14.5,43.5,-26,outdoors,fieldturf ,"60 degrees relative humidity 53%, wind 5 mph, wind chill 0",60,5,4,0,0,0,0,0,10,3,0,0,0,1
26363,SEA DST,DST,2015,3,SEA,,9/27/2015,A,,,0,14.5,43.5,26,outdoors,fieldturf ,"60 degrees relative humidity 53%, wind 5 mph, wind chill 0",60,5,2,0,0,0,0,0,6,4,0,0,0,0
26364,GB DST,DST,2015,3,GB,,9/28/2015,A,,,28,6,49,10,outdoors,grass ,"67 degrees relative humidity 93%, wind 5 mph, wind chill 0",67,5,7,1,0,2,0,0,9,9,0,0,0,0
26365,KC DST,DST,2015,3,KC,,9/28/2015,H,,,38,-6,49,-10,outdoors,grass ,"67 degrees relative humidity 93%, wind 5 mph, wind chill 0",67,5,1,0,0,0,0,0,5,7,0,0,0,0
26366,BAL DST,DST,2015,4,BAL,,10/1/2015,H,OT,,20,2.5,43.5,3,outdoors,grass ,"63 degrees relative humidity 62%, wind 8 mph",63,8,4,0,0,0,2,0,,,0,0,0,0
26367,PIT DST,DST,2015,4,PIT,,10/1/2015,A,OT,,23,-2.5,43.5,-3,outdoors,grass ,"63 degrees relative humidity 62%, wind 8 mph",63,8,5,1,0,1,2,0,7,8,0,0,0,0
26368,ATL DST,DST,2015,4,ATL,,10/4/2015,A,,,21,6,47,27,dome,fieldturf ,indoors,,,1,1,0,2,3,3,5,2,0,0,0,0
26369,HOU DST,DST,2015,4,HOU,,10/4/2015,H,,,48,-6,47,-27,dome,fieldturf ,indoors,,,2,0,0,0,0,0,2,5,0,3,0,0
26370,BUF DST,DST,2015,4,BUF,,10/4/2015,A,,,24,5.5,45.5,-14,outdoors,a_turf,"60 degrees relative humidity 66%, wind 8 mph, wind chill 0",60,8,1,1,0,0,1,0,1,6,0,0,0,0
26371,NYG DST,DST,2015,4,NYG,,10/4/2015,H,,,10,-5.5,45.5,14,outdoors,a_turf,"60 degrees relative humidity 66%, wind 8 mph, wind chill 0",60,8,2,1,0,1,1,0,,,0,0,0,0
26372,CHI DST,DST,2015,4,CHI,,10/4/2015,A,,,20,-3,44,2,outdoors,grass ,"55 degrees relative humidity 83%, wind 12 mph, wind chill 0",55,12,2,1,0,0,1,0,2,5,0,0,0,0
26373,OAK DST,DST,2015,4,OAK,,10/4/2015,H,,,22,3,44,-2,outdoors,grass ,"55 degrees relative humidity 83%, wind 12 mph, wind chill 0",55,12,3,1,0,2,2,0,,,0,0,0,0
26374,CIN DST,DST,2015,4,CIN,,10/4/2015,A,,,21,3.5,45,15,outdoors,fieldturf ,"68 degrees relative humidity 64%, wind 5 mph, wind chill 0",68,5,5,0,0,1,1,0,10,8,0,0,0,0
26375,KC DST,DST,2015,4,KC,,10/4/2015,H,,,36,-3.5,45,-15,outdoors,fieldturf ,"68 degrees relative humidity 64%, wind 5 mph, wind chill 0",68,5,0,0,0,0,0,0,0,1,0,0,0,0
26376,IND DST,DST,2015,4,IND,,10/4/2015,A,OT,,13,9.5,48,3,retractable roof (open),fieldturf ,indoors,,,1,0,0,1,0,0,7,5,0,0,0,0
26377,JAX DST,DST,2015,4,JAX,,10/4/2015,H,OT,,16,-9.5,48,-3,retractable roof (open),fieldturf ,indoors,,,3,0,0,3,3,0,8,4,0,0,0,0
26378,ARI DST,DST,2015,4,ARI,,10/4/2015,A,,,24,7,44,-2,retractable roof (closed),grass ,indoors,,,1,0,0,1,1,0,,,0,0,0,0
26379,LAR DST,DST,2015,4,LAR,,10/4/2015,H,,,22,-7,44,2,retractable roof (closed),grass ,indoors,,,4,1,0,3,2,0,10,9,0,0,0,0
26380,DEN DST,DST,2015,4,DEN,,10/4/2015,A,,,20,7,42.5,3,outdoors,grass ,"61 degrees relative humidity 57%, wind 9 mph, wind chill 0",61,9,7,0,0,3,1,0,9,10,0,0,0,0
26381,MIN DST,DST,2015,4,MIN,,10/4/2015,H,,,23,-7,42.5,-3,outdoors,grass ,"61 degrees relative humidity 57%, wind 9 mph, wind chill 0",61,9,2,2,0,0,0,0,,,0,0,0,0
26382,MIA DST,DST,2015,4,MIA,,10/4/2015,A,,,27,-1.5,42,-13,outdoors,grass ,"59 degrees relative humidity 63%, wind 5 mph, wind chill 0",59,5,0,1,0,0,0,0,2,4,0,0,0,0
26383,NYJ DST,DST,2015,4,NYJ,,10/4/2015,H,,,14,1.5,42,13,outdoors,grass ,"59 degrees relative humidity 63%, wind 5 mph, wind chill 0",59,5,3,2,0,1,0,0,10,4,0,0,0,0
26384,DAL DST,DST,2015,4,DAL,,10/4/2015,H,OT,,26,-3,48,-6,dome,sportturf,indoors,,,3,0,0,0,0,0,4,5,0,0,0,0
26385,NO DST,DST,2015,4,NO,,10/4/2015,A,OT,,20,3,48,6,dome,sportturf,indoors,,,3,0,0,0,0,0,4,5,0,0,0,0
26386,CLE DST,DST,2015,4,CLE,,10/4/2015,H,,,30,-7,44.5,-3,outdoors,grass ,"68 degrees relative humidity 78%, wind 11 mph, wind chill 0",68,11,2,0,0,0,0,0,4,5,0,0,0,0
26387,LAC DST,DST,2015,4,LAC,,10/4/2015,A,,,27,7,44.5,3,outdoors,grass ,"68 degrees relative humidity 78%, wind 11 mph, wind chill 0",68,11,4,0,0,1,1,0,10,8,0,0,0,0
26388,GB DST,DST,2015,4,GB,,10/4/2015,H,,,3,7.5,48,14,outdoors,grass,"74 degrees relative humidity 36%, wind 5 mph, wind chill 0",74,5,6,1,0,1,0,0,7,7,0,0,0,0
26389,SF DST,DST,2015,4,SF,,10/4/2015,A,,,17,-7.5,48,-14,outdoors,grass,"74 degrees relative humidity 36%, wind 5 mph, wind chill 0",74,5,3,0,0,0,2,0,,,0,0,0,0
26390,CAR DST,DST,2015,4,CAR,,10/4/2015,H,,,23,3,40,14,outdoors,grass ,"74 degrees relative humidity 92%, wind 5 mph",74,5,2,4,1,0,1,0,7,3,0,0,0,0
26391,TB DST,DST,2015,4,TB,,10/4/2015,A,,,37,-3,40,-14,outdoors,grass ,"74 degrees relative humidity 92%, wind 5 mph",74,5,2,0,0,1,1,0,4,7,1,0,0,0
26392,PHI DST,DST,2015,4,PHI,,10/4/2015,H,,,23,3,44,-3,outdoors,grass ,"58 degrees relative humidity 82%, wind 13 mph, wind chill 0",58,13,1,0,0,1,1,0,2,1,0,0,0,0
26393,WAS DST,DST,2015,4,WAS,,10/4/2015,A,,,20,-3,44,3,outdoors,grass ,"58 degrees relative humidity 82%, wind 13 mph, wind chill 0",58,13,5,0,0,0,2,0,9,6,0,0,0,0
26394,DET DST,DST,2015,4,DET,,10/5/2015,H,,,13,-9.5,43,-3,outdoors,fieldturf ,"74 degrees relative humidity 41%, wind 8 mph, wind chill 0",74,8,6,0,0,3,4,1,10,8,0,0,0,0
26395,SEA DST,DST,2015,4,SEA,,10/5/2015,A,,,10,9.5,43,3,outdoors,fieldturf ,"74 degrees relative humidity 41%, wind 8 mph, wind chill 0",74,8,0,0,0,1,0,0,3,2,0,1,0,0
26396,HOU DST,DST,2015,5,HOU,,10/8/2015,A,,,27,2,44.5,-7,retractable roof (closed),fieldturf,indoors,,,0,0,0,0,0,0,3,2,0,0,0,0
26397,IND DST,DST,2015,5,IND,,10/8/2015,H,,,20,-2,44.5,7,retractable roof (closed),fieldturf,indoors,,,1,2,0,0,0,0,3,5,0,0,0,0
26398,ATL DST,DST,2015,5,ATL,,10/11/2015,A,OT,,19,7,48,6,dome,fieldturf ,indoors,,,1,2,1,1,2,1,,,0,0,0,0
26399,WAS DST,DST,2015,5,WAS,,10/11/2015,H,OT,,25,-7,48,-6,dome,fieldturf ,indoors,,,3,2,0,3,1,0,6,3,1,1,0,0
26400,CIN DST,DST,2015,5,CIN,,10/11/2015,A,OT,,24,3,43.5,3,outdoors,fieldturf ,"66 degrees relative humidity 59%, wind 3 mph, wind chill 0",66,3,4,1,0,0,0,0,10,3,0,1,0,0
26401,SEA DST,DST,2015,5,SEA,,10/11/2015,H,OT,,27,-3,43.5,-3,outdoors,fieldturf ,"66 degrees relative humidity 59%, wind 3 mph, wind chill 0",66,3,4,1,0,1,1,1,4,7,0,0,0,0
26402,DAL DST,DST,2015,5,DAL,,10/11/2015,A,,,30,-9,49.5,-24,retractable roof (closed),matrixturf,indoors,,,5,0,0,1,0,0,8,5,0,0,0,0
26403,NE DST,DST,2015,5,NE,,10/11/2015,H,,,6,9,49.5,24,retractable roof (closed),matrixturf,indoors,,,3,1,0,1,1,0,5,5,0,0,0,0
