,Player,Pos,Year,Week,Team,Opponent Abbrev,Date,H/A,OT,Team Score,Opponent Score,Spread,Over/Under,Actual Margin,Indoor/Outdoor,Surface,Weather,Temperature,Wind,Rush Att,Rush Yds,Rush TD,Rush Lng,Rec Tgt,Rec Rec,Rec Yds,Rec TD,Rec Lng,Fmb,FL,2PT,Off Num,Off Pct
2,Marquez Valdes-Scantling,WR,2019,1,GNB,CHI,9/5/2019,A,,10,3,3.5,47,-7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,1,0,0,0,6,4,52,0,47,0,0,0,41,67%
3,Davante Adams,WR,2019,1,GNB,CHI,9/5/2019,A,,10,3,3.5,47,-7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,8,4,36,0,11,0,0,0,59,97%
5,Trevor Davis,WR,2019,1,GNB,CHI,9/5/2019,A,,10,3,3.5,47,-7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,1,1,28,0,28,0,0,0,17,28%
12,Allen Robinson,WR,2019,1,CHI,GNB,9/5/2019,H,,3,10,-3.5,47,7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,13,7,102,0,27,0,0,0,68,96%
14,Taylor Gabriel,WR,2019,1,CHI,GNB,9/5/2019,H,,3,10,-3.5,47,7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,5,2,24,0,15,0,0,0,65,92%
16,Anthony Miller,WR,2019,1,CHI,GNB,9/5/2019,H,,3,10,-3.5,47,7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,1,0,0,0,0,0,0,0,15,21%
17,Javon Wims,WR,2019,1,CHI,GNB,9/5/2019,H,,3,10,-3.5,47,7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,2,0,0,0,0,0,0,0,20,28%
18,Cordarrelle Patterson,WR,2019,1,CHI,GNB,9/5/2019,H,,3,10,-3.5,47,7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,1,-2,0,-2,3,1,3,0,3,0,0,0,20,28%
23,AJ Brown,WR,2019,1,TEN,CLE,9/8/2019,A,,43,13,5.5,44,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,4,3,100,0,51,0,0,0,25,42%
25,Adam Humphries,WR,2019,1,TEN,CLE,9/8/2019,A,,43,13,5.5,44,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,1,1,5,0,5,0,0,0,20,34%
26,Corey Davis,WR,2019,1,TEN,CLE,9/8/2019,A,,43,13,5.5,44,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,3,0,0,0,0,0,0,0,43,73%
28,Tajae Sharpe,WR,2019,1,TEN,CLE,9/8/2019,A,,43,13,5.5,44,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,2,0,0,0,0,0,0,0,29,49%
30,Darius Jennings,WR,2019,1,TEN,CLE,9/8/2019,A,,43,13,5.5,44,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,0,0,0,0,0,0,0,0,5,8%
34,Jarvis Landry,WR,2019,1,CLE,TEN,9/8/2019,H,,13,43,-5.5,44,30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,1,10,0,10,7,4,67,0,34,0,0,0,71,100%
36,Odell Beckham,WR,2019,1,CLE,TEN,9/8/2019,H,,13,43,-5.5,44,30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,11,7,71,0,24,0,0,0,71,100%
37,Rashard Higgins,WR,2019,1,CLE,TEN,9/8/2019,H,,13,43,-5.5,44,30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,3,2,46,0,35,0,0,0,31,44%
39,Damion Ratley,WR,2019,1,CLE,TEN,9/8/2019,H,,13,43,-5.5,44,30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,2,2,17,0,10,0,0,0,35,49%
44,Robert Woods,WR,2019,1,LAR,CAR,9/8/2019,A,,30,27,-1.5,49.5,-3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,2,16,0,20,13,8,70,0,22,0,0,0,72,95%
45,Cooper Kupp,WR,2019,1,LAR,CAR,9/8/2019,A,,30,27,-1.5,49.5,-3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,10,7,46,0,10,0,0,0,68,89%
46,Brandin Cooks,WR,2019,1,LAR,CAR,9/8/2019,A,,30,27,-1.5,49.5,-3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,6,2,39,0,24,0,0,0,70,92%
50,Josh Reynolds,WR,2019,1,LAR,CAR,9/8/2019,A,,30,27,-1.5,49.5,-3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,2,0,0,0,0,0,0,0,25,33%
51,Jojo Natson,WR,2019,1,LAR,CAR,9/8/2019,A,,30,27,-1.5,49.5,-3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%
55,DJ Moore,WR,2019,1,CAR,LAR,9/8/2019,H,,27,30,1.5,49.5,3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,10,7,76,0,15,1,1,0,62,94%
57,Curtis Samuel,WR,2019,1,CAR,LAR,9/8/2019,H,,27,30,1.5,49.5,3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,4,3,32,0,16,0,0,0,61,92%
58,Jarius Wright,WR,2019,1,CAR,LAR,9/8/2019,H,,27,30,1.5,49.5,3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,1,1,14,0,14,0,0,0,39,59%
59,Chris Hogan,WR,2019,1,CAR,LAR,9/8/2019,H,,27,30,1.5,49.5,3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,1,0,0,0,0,0,0,0,5,8%
61,Ray-Ray McCloud,WR,2019,1,CAR,LAR,9/8/2019,H,,27,30,1.5,49.5,3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%
65,Terry McLaurin,WR,2019,1,WAS,PHI,9/8/2019,A,,27,32,10.5,44,5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,7,5,125,1,69,0,0,0,59,92%
67,Paul Richardson,WR,2019,1,WAS,PHI,9/8/2019,A,,27,32,10.5,44,5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,7,4,36,0,17,0,0,0,51,80%
68,Trey Quinn,WR,2019,1,WAS,PHI,9/8/2019,A,,27,32,10.5,44,5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,6,4,33,1,14,0,0,0,62,97%
69,Kelvin Harmon,WR,2019,1,WAS,PHI,9/8/2019,A,,27,32,10.5,44,5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,2,2,31,0,21,0,0,0,13,20%
71,Steven Sims,WR,2019,1,WAS,PHI,9/8/2019,A,,27,32,10.5,44,5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,0,0,0,0,0,0,0,0,5,8%
76,Alshon Jeffery,WR,2019,1,PHI,WAS,9/8/2019,H,,32,27,-10.5,44,-5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,1,2,1,2,6,5,49,1,16,0,0,0,59,80%
77,DeSean Jackson,WR,2019,1,PHI,WAS,9/8/2019,H,,32,27,-10.5,44,-5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,10,8,154,2,53,0,0,0,51,69%
80,Nelson Agholor,WR,2019,1,PHI,WAS,9/8/2019,H,,32,27,-10.5,44,-5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,5,2,11,0,7,0,0,0,59,80%
84,John Brown,WR,2019,1,BUF,NYJ,9/8/2019,A,,17,16,2.5,41,-1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,10,7,123,1,38,0,0,0,56,85%
85,Cole Beasley,WR,2019,1,BUF,NYJ,9/8/2019,A,,17,16,2.5,41,-1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,9,5,40,0,10,0,0,0,45,68%
87,Zay Jones,WR,2019,1,BUF,NYJ,9/8/2019,A,,17,16,2.5,41,-1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,4,2,18,0,20,0,0,0,29,44%
92,Jamison Crowder,WR,2019,1,NYJ,BUF,9/8/2019,H,,16,17,-2.5,41,1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,1,4,0,4,17,14,99,0,19,0,0,0,64,90%
94,Robby Anderson,WR,2019,1,NYJ,BUF,9/8/2019,H,,16,17,-2.5,41,1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,7,3,23,0,9,0,0,0,68,96%
95,Josh Bellamy,WR,2019,1,NYJ,BUF,9/8/2019,H,,16,17,-2.5,41,1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,1,1,15,0,15,0,0,0,6,8%
97,Quincy Enunwa,WR,2019,1,NYJ,BUF,9/8/2019,H,,16,17,-2.5,41,1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,3,1,-4,0,8,1,1,0,65,92%
98,Braxton Berrios,WR,2019,1,NYJ,BUF,9/8/2019,H,,16,17,-2.5,41,1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%
103,Calvin Ridley,WR,2019,1,ATL,MIN,9/8/2019,A,,12,28,3.5,47,16,dome,sportturf,indoors,,,0,0,0,0,6,4,64,1,20,0,0,0,57,77%
104,Mohamed Sanu,WR,2019,1,ATL,MIN,9/8/2019,A,,12,28,3.5,47,16,dome,sportturf,indoors,,,0,0,0,0,6,5,57,0,23,0,0,0,62,84%
105,Justin Hardy,WR,2019,1,ATL,MIN,9/8/2019,A,,12,28,3.5,47,16,dome,sportturf,indoors,,,0,0,0,0,5,4,41,0,23,0,0,0,21,28%
106,Julio Jones,WR,2019,1,ATL,MIN,9/8/2019,A,,12,28,3.5,47,16,dome,sportturf,indoors,,,0,0,0,0,11,6,31,1,10,0,0,0,50,68%
108,Russell Gage,WR,2019,1,ATL,MIN,9/8/2019,A,,12,28,3.5,47,16,dome,sportturf,indoors,,,1,-1,0,-1,2,1,13,0,13,0,0,0,13,18%
114,Adam Thielen,WR,2019,1,MIN,ATL,9/8/2019,H,,28,12,-3.5,47,-16,dome,sportturf,indoors,,,0,0,0,0,3,3,43,1,23,0,0,0,47,87%
115,Stefon Diggs,WR,2019,1,MIN,ATL,9/8/2019,H,,28,12,-3.5,47,-16,dome,sportturf,indoors,,,0,0,0,0,2,2,37,0,31,0,0,0,32,59%
116,Chad Beebe,WR,2019,1,MIN,ATL,9/8/2019,H,,28,12,-3.5,47,-16,dome,sportturf,indoors,,,0,0,0,0,1,1,9,0,9,0,0,0,14,26%
123,Marquise Brown,WR,2019,1,BAL,MIA,9/8/2019,A,,59,10,-7,41,-49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91,8,0,0,0,0,5,4,147,2,83,0,0,0,14,18%
125,Willie Snead,WR,2019,1,BAL,MIA,9/8/2019,A,,59,10,-7,41,-49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91,8,0,0,0,0,3,2,41,1,33,0,0,0,49,64%
128,Seth Roberts,WR,2019,1,BAL,MIA,9/8/2019,A,,59,10,-7,41,-49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91,8,0,0,0,0,1,1,10,0,10,0,0,0,51,67%
129,Miles Boykin,WR,2019,1,BAL,MIA,9/8/2019,A,,59,10,-7,41,-49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91,8,0,0,0,0,1,1,5,1,5,0,0,0,18,24%
134,Albert Wilson,WR,2019,1,MIA,BAL,9/8/2019,H,,10,59,7,41,49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91,8,1,1,0,1,4,2,13,0,12,0,0,0,6,12%
136,DeVante Parker,WR,2019,1,MIA,BAL,9/8/2019,H,,10,59,7,41,49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91,8,0,0,0,0,7,3,75,0,49,0,0,0,37,76%
138,Preston Williams,WR,2019,1,MIA,BAL,9/8/2019,H,,10,59,7,41,49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91,8,0,0,0,0,5,3,24,1,11,0,0,0,20,41%
139,Allen Hurns,WR,2019,1,MIA,BAL,9/8/2019,H,,10,59,7,41,49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91,8,0,0,0,0,3,1,22,0,22,0,0,0,34,69%
140,Jakeem Grant,WR,2019,1,MIA,BAL,9/8/2019,H,,10,59,7,41,49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91,8,0,0,0,0,3,1,-3,0,-3,1,1,0,30,61%
146,Tyreek Hill,WR,2019,1,KAN,JAX,9/8/2019,A,,40,26,-3.5,49,-14,outdoors,grass,"91 degrees, relative humidity 54%, wind 6 mph",91,6,1,5,0,5,2,2,16,0,8,0,0,0,12,18%
147,Sammy Watkins,WR,2019,1,KAN,JAX,9/8/2019,A,,40,26,-3.5,49,-14,outdoors,grass,"91 degrees, relative humidity 54%, wind 6 mph",91,6,0,0,0,0,11,9,198,3,68,0,0,0,65,96%
152,Mecole Hardman,WR,2019,1,KAN,JAX,9/8/2019,A,,40,26,-3.5,49,-14,outdoors,grass,"91 degrees, relative humidity 54%, wind 6 mph",91,6,0,0,0,0,1,0,0,0,0,0,0,0,53,78%
153,Demarcus Robinson,WR,2019,1,KAN,JAX,9/8/2019,A,,40,26,-3.5,49,-14,outdoors,grass,"91 degrees, relative humidity 54%, wind 6 mph",91,6,0,0,0,0,2,1,0,0,0,0,0,0,43,63%
158,Dede Westbrook,WR,2019,1,JAX,KAN,9/8/2019,H,,26,40,3.5,49,14,outdoors,grass,"91 degrees, relative humidity 54%, wind 6 mph",91,6,1,2,0,2,6,5,30,1,15,0,0,0,48,83%
159,DJ Chark,WR,2019,1,JAX,KAN,9/8/2019,H,,26,40,3.5,49,14,outdoors,grass,"91 degrees, relative humidity 54%, wind 6 mph",91,6,0,0,0,0,4,4,146,1,69,0,0,0,41,71%
160,Chris Conley,WR,2019,1,JAX,KAN,9/8/2019,H,,26,40,3.5,49,14,outdoors,grass,"91 degrees, relative humidity 54%, wind 6 mph",91,6,0,0,0,0,7,6,97,1,21,0,0,0,44,76%
167,Tyler Boyd,WR,2019,1,CIN,SEA,9/8/2019,A,,20,21,9.5,44,1,outdoors,fieldturf,"64 degrees, relative humidity 82%, wind 7 mph",64,7,1,3,0,3,12,8,60,0,14,0,0,0,59,79%
168,John Ross,WR,2019,1,CIN,SEA,9/8/2019,A,,20,21,9.5,44,1,outdoors,fieldturf,"64 degrees, relative humidity 82%, wind 7 mph",64,7,0,0,0,0,12,7,158,2,55,0,0,0,61,81%
170,Damion Willis,WR,2019,1,CIN,SEA,9/8/2019,A,,20,21,9.5,44,1,outdoors,fieldturf,"64 degrees, relative humidity 82%, wind 7 mph",64,7,0,0,0,0,5,3,30,0,17,0,0,0,67,89%
171,Alex Erickson,WR,2019,1,CIN,SEA,9/8/2019,A,,20,21,9.5,44,1,outdoors,fieldturf,"64 degrees, relative humidity 82%, wind 7 mph",64,7,0,0,0,0,4,4,28,0,13,1,1,0,11,15%
176,DK Metcalf,WR,2019,1,SEA,CIN,9/8/2019,H,,21,20,-9.5,44,-1,outdoors,fieldturf,"64 degrees, relative humidity 82%, wind 7 mph",64,7,0,0,0,0,6,4,89,0,42,0,0,0,40,78%
177,Tyler Lockett,WR,2019,1,SEA,CIN,9/8/2019,H,,21,20,-9.5,44,-1,outdoors,fieldturf,"64 degrees, relative humidity 82%, wind 7 mph",64,7,0,0,0,0,2,1,44,1,44,0,0,0,46,90%
183,Parris Campbell,WR,2019,1,IND,LAC,9/8/2019,A,OT,24,30,6,44.5,6,outdoors,grass,"77 degrees, relative humidity 52%, wind 10 mph",77,10,1,7,0,7,1,1,1,0,1,0,0,0,18,29%
184,TY Hilton,WR,2019,1,IND,LAC,9/8/2019,A,OT,24,30,6,44.5,6,outdoors,grass,"77 degrees, relative humidity 52%, wind 10 mph",77,10,0,0,0,0,9,8,87,2,19,0,0,0,56,89%
185,Deon Cain,WR,2019,1,IND,LAC,9/8/2019,A,OT,24,30,6,44.5,6,outdoors,grass,"77 degrees, relative humidity 52%, wind 10 mph",77,10,0,0,0,0,2,2,35,0,25,0,0,0,11,17%
186,Devin Funchess,WR,2019,1,IND,LAC,9/8/2019,A,OT,24,30,6,44.5,6,outdoors,grass,"77 degrees, relative humidity 52%, wind 10 mph",77,10,0,0,0,0,5,3,32,0,16,0,0,0,36,57%
190,Chester Rogers,WR,2019,1,IND,LAC,9/8/2019,A,OT,24,30,6,44.5,6,outdoors,grass,"77 degrees, relative humidity 52%, wind 10 mph",77,10,0,0,0,0,0,0,0,0,0,0,0,0,25,40%
195,Keenan Allen,WR,2019,1,LAC,IND,9/8/2019,H,OT,30,24,-6,44.5,-6,outdoors,grass,"77 degrees, relative humidity 52%, wind 10 mph",77,10,0,0,0,0,10,8,123,1,28,0,0,0,52,83%
197,Mike Williams,WR,2019,1,LAC,IND,9/8/2019,H,OT,30,24,-6,44.5,-6,outdoors,grass,"77 degrees, relative humidity 52%, wind 10 mph",77,10,0,0,0,0,3,2,29,0,17,0,0,0,41,65%
198,Travis Benjamin,WR,2019,1,LAC,IND,9/8/2019,H,OT,30,24,-6,44.5,-6,outdoors,grass,"77 degrees, relative humidity 52%, wind 10 mph",77,10,0,0,0,0,3,2,12,0,10,0,0,0,30,48%
199,Dontrelle Inman,WR,2019,1,LAC,IND,9/8/2019,H,OT,30,24,-6,44.5,-6,outdoors,grass,"77 degrees, relative humidity 52%, wind 10 mph",77,10,0,0,0,0,1,1,5,0,5,0,0,0,26,41%
207,Richie James,WR,2019,1,SFO,TAM,9/8/2019,A,,31,17,1,51,-14,outdoors,grass,"93 degrees, relative humidity 52%, wind 9 mph",93,9,0,0,0,0,2,1,39,1,39,0,0,0,26,39%
208,Deebo Samuel,WR,2019,1,SFO,TAM,9/8/2019,A,,31,17,1,51,-14,outdoors,grass,"93 degrees, relative humidity 52%, wind 9 mph",93,9,0,0,0,0,3,3,17,0,14,1,1,1,59,88%
209,Kendrick Bourne,WR,2019,1,SFO,TAM,9/8/2019,A,,31,17,1,51,-14,outdoors,grass,"93 degrees, relative humidity 52%, wind 9 mph",93,9,0,0,0,0,3,1,9,0,9,0,0,0,17,25%
210,Dante Pettis,WR,2019,1,SFO,TAM,9/8/2019,A,,31,17,1,51,-14,outdoors,grass,"93 degrees, relative humidity 52%, wind 9 mph",93,9,0,0,0,0,1,1,7,0,7,0,0,0,2,3%
211,Marquise Goodwin,WR,2019,1,SFO,TAM,9/8/2019,A,,31,17,1,51,-14,outdoors,grass,"93 degrees, relative humidity 52%, wind 9 mph",93,9,0,0,0,0,3,1,7,0,7,0,0,0,49,73%
215,Chris Godwin,WR,2019,1,TAM,SFO,9/8/2019,H,,17,31,-1,51,14,outdoors,grass,"93 degrees, relative humidity 52%, wind 9 mph",93,9,0,0,0,0,6,3,53,1,28,0,0,0,63,91%
218,Mike Evans,WR,2019,1,TAM,SFO,9/8/2019,H,,17,31,-1,51,14,outdoors,grass,"93 degrees, relative humidity 52%, wind 9 mph",93,9,0,0,0,0,5,2,28,0,16,0,0,0,59,86%
219,Breshad Perriman,WR,2019,1,TAM,SFO,9/8/2019,H,,17,31,-1,51,14,outdoors,grass,"93 degrees, relative humidity 52%, wind 9 mph",93,9,0,0,0,0,5,2,10,0,5,0,0,0,44,64%
221,Bobo Wilson,WR,2019,1,TAM,SFO,9/8/2019,H,,17,31,-1,51,14,outdoors,grass,"93 degrees, relative humidity 52%, wind 9 mph",93,9,0,0,0,0,0,0,0,0,0,0,0,0,6,9%
229,Cody Latimer,WR,2019,1,NYG,DAL,9/8/2019,A,,17,35,7,44,18,retractable roof (closed),fieldturf,indoors,,,0,0,0,0,7,3,74,0,43,0,0,0,60,88%
230,Sterling Shepard,WR,2019,1,NYG,DAL,9/8/2019,A,,17,35,7,44,18,retractable roof (closed),fieldturf,indoors,,,0,0,0,0,7,6,42,0,11,0,0,0,67,99%
231,Bennie Fowler,WR,2019,1,NYG,DAL,9/8/2019,A,,17,35,7,44,18,retractable roof (closed),fieldturf,indoors,,,0,0,0,0,5,5,40,0,17,0,0,0,50,74%
236,Michael Gallup,WR,2019,1,DAL,NYG,9/8/2019,H,,35,17,-7,44,-18,retractable roof (closed),fieldturf,indoors,,,0,0,0,0,7,7,158,0,62,0,0,0,53,78%
237,Amari Cooper,WR,2019,1,DAL,NYG,9/8/2019,H,,35,17,-7,44,-18,retractable roof (closed),fieldturf,indoors,,,0,0,0,0,9,6,106,1,45,0,0,0,52,76%
238,Randall Cobb,WR,2019,1,DAL,NYG,9/8/2019,H,,35,17,-7,44,-18,retractable roof (closed),fieldturf,indoors,,,0,0,0,0,5,4,69,1,25,0,0,0,48,71%
241,Tavon Austin,WR,2019,1,DAL,NYG,9/8/2019,H,,35,17,-7,44,-18,retractable roof (closed),fieldturf,indoors,,,0,0,0,0,1,1,8,0,8,0,0,0,25,37%
247,Marvin Jones,WR,2019,1,DET,ARI,9/8/2019,A,OT,27,27,-2.5,45.5,0,Cardinals,retractable roof (closed),indoors,,,1,4,0,4,4,4,56,0,23,0,0,0,68,81%
249,Danny Amendola,WR,2019,1,DET,ARI,9/8/2019,A,OT,27,27,-2.5,45.5,0,Cardinals,retractable roof (closed),indoors,,,0,0,0,0,13,7,104,1,47,0,0,0,44,52%
250,Kenny Golladay,WR,2019,1,DET,ARI,9/8/2019,A,OT,27,27,-2.5,45.5,0,Cardinals,retractable roof (closed),indoors,,,0,0,0,0,9,4,42,1,13,0,0,0,82,98%
256,Christian Kirk,WR,2019,1,ARI,DET,9/8/2019,H,OT,27,27,2.5,45.5,0,Cardinals,retractable roof (closed),indoors,,,1,12,0,12,12,4,32,0,10,0,0,1,82,93%
258,Larry Fitzgerald,WR,2019,1,ARI,DET,9/8/2019,H,OT,27,27,2.5,45.5,0,Cardinals,retractable roof (closed),indoors,,,0,0,0,0,13,8,113,1,45,0,0,0,84,95%
259,KeeSean Johnson,WR,2019,1,ARI,DET,9/8/2019,H,OT,27,27,2.5,45.5,0,Cardinals,retractable roof (closed),indoors,,,0,0,0,0,10,5,46,0,15,0,0,0,67,76%
260,Damiere Byrd,WR,2019,1,ARI,DET,9/8/2019,H,OT,27,27,2.5,45.5,0,Cardinals,retractable roof (closed),indoors,,,0,0,0,0,7,4,42,0,19,0,0,0,77,88%
263,Andy Isabella,WR,2019,1,ARI,DET,9/8/2019,H,OT,27,27,2.5,45.5,0,Cardinals,retractable roof (closed),indoors,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%
267,JuJu Smith-Schuster,WR,2019,1,PIT,NWE,9/8/2019,A,,3,33,5.5,49,30,outdoors,grass,"66 degrees, relative humidity 62%, wind 2 mph",66,2,0,0,0,0,8,6,78,0,26,0,0,0,60,90%
268,James Washington,WR,2019,1,PIT,NWE,9/8/2019,A,,3,33,5.5,49,30,outdoors,grass,"66 degrees, relative humidity 62%, wind 2 mph",66,2,0,0,0,0,6,2,51,0,45,0,0,0,35,52%
270,Ryan Switzer,WR,2019,1,PIT,NWE,9/8/2019,A,,3,33,5.5,49,30,outdoors,grass,"66 degrees, relative humidity 62%, wind 2 mph",66,2,0,0,0,0,6,6,29,0,8,0,0,0,46,69%
271,Diontae Johnson,WR,2019,1,PIT,NWE,9/8/2019,A,,3,33,5.5,49,30,outdoors,grass,"66 degrees, relative humidity 62%, wind 2 mph",66,2,0,0,0,0,5,3,25,0,9,0,0,0,24,36%
272,Donte Moncrief,WR,2019,1,PIT,NWE,9/8/2019,A,,3,33,5.5,49,30,outdoors,grass,"66 degrees, relative humidity 62%, wind 2 mph",66,2,0,0,0,0,10,3,7,0,3,0,0,0,60,90%
273,Johnny Holton,WR,2019,1,PIT,NWE,9/8/2019,A,,3,33,5.5,49,30,outdoors,grass,"66 degrees, relative humidity 62%, wind 2 mph",66,2,0,0,0,0,2,0,0,0,0,0,0,0,7,10%
275,Julian Edelman,WR,2019,1,NWE,PIT,9/8/2019,H,,33,3,-5.5,49,-30,outdoors,grass,"66 degrees, relative humidity 62%, wind 2 mph",66,2,1,8,0,8,11,6,83,0,24,0,0,0,67,96%
280,Phillip Dorsett,WR,2019,1,NWE,PIT,9/8/2019,H,,33,3,-5.5,49,-30,outdoors,grass,"66 degrees, relative humidity 62%, wind 2 mph",66,2,0,0,0,0,4,4,95,2,58,0,0,0,59,84%
281,Josh Gordon,WR,2019,1,NWE,PIT,9/8/2019,H,,33,3,-5.5,49,-30,outdoors,grass,"66 degrees, relative humidity 62%, wind 2 mph",66,2,0,0,0,0,4,3,73,1,44,0,0,0,49,70%
282,Jakobi Meyers,WR,2019,1,NWE,PIT,9/8/2019,H,,33,3,-5.5,49,-30,outdoors,grass,"66 degrees, relative humidity 62%, wind 2 mph",66,2,0,0,0,0,1,1,22,0,22,0,0,0,8,11%
284,Gunner Olszewski,WR,2019,1,NWE,PIT,9/8/2019,H,,33,3,-5.5,49,-30,outdoors,grass,"66 degrees, relative humidity 62%, wind 2 mph",66,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1%
288,DeAndre Hopkins,WR,2019,1,HOU,NOR,9/9/2019,A,,28,30,6.5,52,2,dome,astroturf,indoors,,,0,0,0,0,13,8,111,2,38,0,0,0,63,98%
289,Will Fuller,WR,2019,1,HOU,NOR,9/9/2019,A,,28,30,6.5,52,2,dome,astroturf,indoors,,,0,0,0,0,3,2,69,0,54,0,0,0,62,97%
290,Kenny Stills,WR,2019,1,HOU,NOR,9/9/2019,A,,28,30,6.5,52,2,dome,astroturf,indoors,,,0,0,0,0,3,3,37,1,37,0,0,0,27,42%
293,DeAndre Carter,WR,2019,1,HOU,NOR,9/9/2019,A,,28,30,6.5,52,2,dome,astroturf,indoors,,,0,0,0,0,1,1,-1,0,-1,0,0,0,27,42%
298,Michael Thomas,WR,2019,1,NOR,HOU,9/9/2019,H,,30,28,-6.5,52,-2,dome,astroturf,indoors,,,0,0,0,0,13,10,123,0,24,0,0,0,59,89%
299,Ted Ginn,WR,2019,1,NOR,HOU,9/9/2019,H,,30,28,-6.5,52,-2,dome,astroturf,indoors,,,0,0,0,0,7,7,101,0,41,0,0,0,49,74%
301,Tre'Quan Smith,WR,2019,1,NOR,HOU,9/9/2019,H,,30,28,-6.5,52,-2,dome,astroturf,indoors,,,0,0,0,0,2,2,26,1,14,0,0,0,42,64%
303,Deonte Harris,WR,2019,1,NOR,HOU,9/9/2019,H,,30,28,-6.5,52,-2,dome,astroturf,indoors,,,0,0,0,0,0,0,0,0,0,0,0,0,1,2%
